City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
32,Mehamn,NO,2021-11-23 17:12:38,71.0357,27.8492,24.98,84,100,17.9
33,Mokhotlong,LS,2021-11-23 17:12:39,-29.2894,29.0675,53.71,73,91,10.02
34,Machachi,EC,2021-11-23 17:12:39,-0.5,-78.5667,62.1,91,99,2.59
35,Kavieng,PG,2021-11-23 17:12:40,-2.5744,150.7967,82.53,78,99,16.06
36,Hilo,US,2021-11-23 17:11:12,19.7297,-155.09,69.62,79,40,8.05
37,Fazilka,IN,2021-11-23 17:12:40,30.4,74.0333,67.37,14,0,4.09
38,Carnarvon,AU,2021-11-23 17:12:41,-24.8667,113.6333,69.87,83,0,13.8
39,Sabinas,MX,2021-11-23 17:10:05,27.85,-101.1167,66.85,32,58,10.6
40,Mandera,KE,2021-11-23 17:12:41,3.9366,41.867,88.92,34,83,6.78
41,Wanning,CN,2021-11-23 17:12:42,18.8003,110.3967,67.26,82,98,13.67
42,Faya,SA,2021-11-23 17:12:42,18.3851,42.4509,59.52,44,24,4.99
43,Porto Novo,BJ,2021-11-23 17:12:42,6.4965,2.6036,82.65,75,99,8.16
44,Noyabrsk,RU,2021-11-23 17:12:43,63.1994,75.4507,9.37,94,100,11.86
45,Bethanien,NA,2021-11-23 17:12:43,-26.502,17.1583,84.29,11,35,8.57
46,New Norfolk,AU,2021-11-23 17:13:44,-42.7826,147.0587,60.3,71,100,3.18
47,Bluff,NZ,2021-11-23 17:13:44,-46.6,168.3333,52.14,80,60,12.21
48,Surskoye,RU,2021-11-23 17:13:44,54.4821,46.7214,5.99,98,49,4.54
49,Aasiaat,GL,2021-11-23 17:13:45,68.7098,-52.8699,1.8,79,71,19.55
50,Sault Sainte Marie,CA,2021-11-23 17:09:06,46.5168,-84.3333,33.89,69,1,0.0
51,Souillac,MU,2021-11-23 17:13:45,-20.5167,57.5167,74.35,74,63,7.45
52,Rio Grande,BR,2021-11-23 17:10:46,-32.035,-52.0986,77.11,52,1,14.43
53,Port Alfred,ZA,2021-11-23 17:13:46,-33.5906,26.891,62.71,67,61,19.86
54,Tasiilaq,GL,2021-11-23 17:12:36,65.6145,-37.6368,24.96,61,75,7.27
55,Izhma,RU,2021-11-23 17:13:47,65.0083,53.9113,8.56,97,94,5.37
56,Hervey Bay,AU,2021-11-23 17:13:47,-25.2986,152.8535,73.04,92,76,3.0
57,Auki,SB,2021-11-23 17:13:47,-8.7676,160.7034,76.73,87,71,4.47
58,Vyazemskiy,RU,2021-11-23 17:13:48,47.5378,134.7525,15.39,90,100,14.88
59,Tuktoyaktuk,CA,2021-11-23 17:13:48,69.4541,-133.0374,-8.09,98,95,4.79
60,Tarata,BO,2021-11-23 17:13:48,-17.6167,-66.0167,70.86,40,100,8.34
61,Vieste,IT,2021-11-23 17:13:49,41.8825,16.175,56.32,81,93,11.23
62,Avarua,CK,2021-11-23 17:13:49,-21.2078,-159.775,68.05,83,100,1.14
63,Qaanaaq,GL,2021-11-23 17:13:50,77.484,-69.3632,-5.94,72,95,9.37
64,Mataura,NZ,2021-11-23 17:13:50,-46.1927,168.8643,45.81,94,88,2.44
65,Airai,TL,2021-11-23 17:13:50,-8.9266,125.4092,61.72,88,53,0.63
66,Norman Wells,CA,2021-11-23 17:13:51,65.282,-126.8329,-11.79,95,100,5.06
67,Kavaratti,IN,2021-11-23 17:13:51,10.5669,72.642,81.99,76,38,12.57
68,Coachella,US,2021-11-23 17:13:52,33.6803,-116.1739,79.34,23,100,1.74
69,Acapulco,MX,2021-11-23 17:10:48,16.8634,-99.8901,82.22,78,40,4.61
70,Raudeberg,NO,2021-11-23 17:13:52,61.9875,5.1352,47.19,96,100,8.01
71,Ancud,CL,2021-11-23 17:13:53,-41.8697,-73.8203,68.43,79,65,9.15
72,East London,ZA,2021-11-23 17:13:53,-33.0153,27.9116,63.54,67,0,21.85
73,Agirish,RU,2021-11-23 17:13:53,61.9247,63.0231,7.97,90,100,8.05
74,Mount Isa,AU,2021-11-23 17:13:54,-20.7333,139.5,80.37,29,90,4.61
75,Ushuaia,AR,2021-11-23 17:12:16,-54.8,-68.3,44.26,61,90,5.75
76,Saint-Augustin,CA,2021-11-23 17:13:54,51.226,-58.6502,41.74,93,100,24.16
