City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description,Date
366,Mezen,65.8522,44.24,16.66,89,100,12.8,RU,overcast clouds,2021-12-01 03:50:45
367,Tecoanapa,16.5167,-98.75,78.1,81,16,3.58,MX,few clouds,2021-12-01 03:50:46
368,Praia,14.9215,-23.5087,72.14,73,20,16.11,CV,few clouds,2021-12-01 03:50:46
369,Aranos,-24.1333,19.1167,69.73,19,0,9.55,NA,clear sky,2021-12-01 03:51:47
370,Lorengau,-2.0226,147.2712,85.78,63,11,6.78,PG,few clouds,2021-12-01 03:51:47
371,Coihaique,-45.5752,-72.0662,48.81,76,0,2.3,CL,clear sky,2021-12-01 03:51:47
372,Casal Di Principe,41.0114,14.1248,51.19,77,26,2.93,IT,scattered clouds,2021-12-01 03:51:48
373,Bima,-8.4667,118.7167,82.2,77,100,4.56,ID,light rain,2021-12-01 03:51:48
374,Manoel Urbano,-8.8389,-69.2597,71.13,95,100,1.63,BR,overcast clouds,2021-12-01 03:51:49
375,Koani,-6.1333,39.2833,76.62,94,40,0.0,TZ,scattered clouds,2021-12-01 03:51:49
376,Aksarka,66.5606,67.7975,1.2,94,100,10.65,RU,overcast clouds,2021-12-01 03:51:50
377,Hami,42.8,93.45,27.55,56,0,3.27,CN,clear sky,2021-12-01 03:51:19
378,Yaan,7.3833,8.5667,72.59,42,46,3.11,NG,scattered clouds,2021-12-01 03:51:11
379,Cap Malheureux,-19.9842,57.6142,81.46,62,1,5.99,MU,clear sky,2021-12-01 03:50:03
380,Mehamn,71.0357,27.8492,30.81,70,100,20.2,NO,light snow,2021-12-01 03:51:50
381,Padang,-0.9492,100.3543,86.05,64,55,5.64,ID,broken clouds,2021-12-01 03:50:54
382,Doka,13.5167,35.7667,74.97,30,0,10.36,SD,clear sky,2021-12-01 03:51:51
383,Hare Bay,48.8499,-54.0148,34.95,68,45,19.39,CA,scattered clouds,2021-12-01 03:51:51
384,Doha,25.2867,51.5333,69.78,78,0,1.14,QA,clear sky,2021-12-01 03:51:52
385,Kautokeino,69.0125,23.0412,8.85,96,100,9.98,NO,light snow,2021-12-01 03:51:52
386,East London,-33.0153,27.9116,63.54,94,75,2.3,ZA,broken clouds,2021-12-01 03:51:52
387,Ternate,0.8,127.4,82.78,74,99,6.44,ID,moderate rain,2021-12-01 03:51:53
388,Wakkanai,45.4094,141.6739,48.18,93,75,12.66,JP,light intensity shower rain,2021-12-01 03:51:53
389,Edd,13.9297,41.6925,79.74,57,0,6.87,ER,clear sky,2021-12-01 03:51:54
390,Malartic,48.1335,-78.1328,26.71,90,100,8.32,CA,light snow,2021-12-01 03:50:40
391,Baicheng,45.6167,122.8167,21.29,62,3,8.75,CN,clear sky,2021-12-01 03:51:54
392,Half Moon Bay,37.4636,-122.4286,65.26,69,20,1.01,US,few clouds,2021-12-01 03:51:05
393,Willmar,45.1219,-95.0433,38.79,87,1,9.22,US,clear sky,2021-12-01 03:51:55
394,Bayir,37.2687,28.2167,39.72,91,6,4.81,TR,clear sky,2021-12-01 03:51:55
395,Salvador,13.8333,-88.9167,64.53,80,0,3.8,SV,clear sky,2021-12-01 03:51:55
396,Isangel,-19.55,169.2667,86.11,74,75,6.91,VU,broken clouds,2021-12-01 03:51:56
397,San Cristobal,7.7669,-72.225,71.78,91,42,1.77,VE,scattered clouds,2021-12-01 03:51:56
398,Darhan,49.4867,105.9228,16.0,79,43,8.7,MN,scattered clouds,2021-12-01 03:51:57
399,Ben Tre,10.2333,106.3833,84.15,65,82,4.21,VN,light rain,2021-12-01 03:51:57
400,Ust-Omchug,61.15,149.6333,-37.34,99,40,2.06,RU,scattered clouds,2021-12-01 03:51:57
401,Miyazu,35.5333,135.1833,46.6,63,89,18.54,JP,overcast clouds,2021-12-01 03:51:58
402,Nanakuli,21.3906,-158.1547,84.15,61,1,4.61,US,clear sky,2021-12-01 03:51:58
403,Sao Desiderio,-12.3633,-44.9733,73.51,83,100,2.46,BR,overcast clouds,2021-12-01 03:51:59
404,Vredefort,-27.0081,27.3646,64.94,64,13,8.39,ZA,few clouds,2021-12-01 03:51:59
405,Imbituba,-28.24,-48.6703,73.29,83,4,4.54,BR,clear sky,2021-12-01 03:52:00
406,Laureles,26.1092,-97.4941,65.95,90,75,3.44,US,broken clouds,2021-12-01 03:52:00
407,Coahuayana,18.7333,-103.6833,74.37,92,67,3.13,MX,broken clouds,2021-12-01 03:52:00
408,Ishigaki,24.3448,124.1572,68.13,49,40,20.71,JP,scattered clouds,2021-12-01 03:52:01
409,Soubre,5.7856,-6.6083,72.3,99,76,2.15,CI,broken clouds,2021-12-01 03:52:01
410,Vostok,46.4856,135.8833,8.46,96,100,15.14,RU,snow,2021-12-01 03:52:02
411,Kloulklubed,7.0419,134.2556,84.61,77,68,19.01,PW,heavy intensity rain,2021-12-01 03:52:02
412,Okha,53.5739,142.9478,23.59,86,100,22.79,RU,light snow,2021-12-01 03:52:02
413,Poitiers,46.5833,0.3333,52.79,47,90,12.66,FR,overcast clouds,2021-12-01 03:52:03
414,Freetown,8.484,-13.2299,78.67,80,15,2.66,SL,few clouds,2021-12-01 03:52:03
415,Northam,51.0333,-4.2167,50.4,84,52,27.65,GB,broken clouds,2021-12-01 03:52:03
416,Carutapera,-1.195,-46.02,78.06,87,46,5.37,BR,scattered clouds,2021-12-01 03:52:04
417,Sabang,5.8933,95.3214,82.2,72,83,20.18,ID,broken clouds,2021-12-01 03:52:04
418,Maloy,61.9353,5.1136,31.73,93,95,5.53,NO,light snow,2021-12-01 03:52:05
419,La Ronge,55.1001,-105.2842,23.25,86,90,4.61,CA,overcast clouds,2021-12-01 03:51:21
420,Skvyra,49.7318,29.6657,30.27,95,100,14.54,UA,snow,2021-12-01 03:52:05
421,Pyaozerskiy,65.8333,31.1667,19.18,92,100,13.11,RU,light snow,2021-12-01 03:52:06
422,Batemans Bay,-35.7167,150.1833,85.98,64,38,12.35,AU,light rain,2021-12-01 03:51:22
423,Henties Bay,-22.116,14.2845,57.85,93,6,4.97,NA,clear sky,2021-12-01 03:52:06
424,Cape Canaveral,28.4058,-80.6048,63.03,85,75,6.91,US,broken clouds,2021-12-01 03:52:07
425,Miranda,3.2499,-76.2281,66.33,91,100,2.39,CO,overcast clouds,2021-12-01 03:52:07
426,Ponta Do Sol,32.6667,-17.1,62.01,82,84,6.62,PT,broken clouds,2021-12-01 03:48:51
427,Tagusao,9.1924,117.8141,84.42,72,81,5.7,PH,broken clouds,2021-12-01 03:52:07
428,Palm Coast,29.585,-81.2078,56.07,85,2,1.99,US,clear sky,2021-12-01 03:51:37
429,Salina Cruz,16.1667,-95.2,75.7,71,3,19.06,MX,clear sky,2021-12-01 03:52:08
430,Kabare,-2.4683,28.8242,60.13,92,100,1.52,CD,overcast clouds,2021-12-01 03:52:08
431,Rio Verde De Mato Grosso,-18.9181,-54.8442,75.27,84,93,2.73,BR,overcast clouds,2021-12-01 03:52:09
432,Darab,28.7519,54.5444,57.22,38,0,1.54,IR,clear sky,2021-12-01 03:52:09
433,Pedasi,7.5333,-80.0333,75.07,88,100,3.78,PA,overcast clouds,2021-12-01 03:52:10
434,Srednekolymsk,67.45,153.6833,-22.4,99,98,8.72,RU,overcast clouds,2021-12-01 03:47:45
435,Waling,27.9833,83.7667,67.68,51,64,2.35,NP,broken clouds,2021-12-01 03:52:10
436,Erzin,36.9559,36.2,59.72,72,83,23.4,TR,broken clouds,2021-12-01 03:52:11
437,Yarega,63.4354,53.5765,20.19,96,100,6.17,RU,light snow,2021-12-01 03:52:11
438,Ahuimanu,21.4447,-157.8378,83.91,73,20,10.36,US,light rain,2021-12-01 03:52:11
439,Sandviken,60.6167,16.7667,12.69,88,32,3.2,SE,scattered clouds,2021-12-01 03:52:12
440,Benghazi,32.1167,20.0667,63.23,57,62,18.99,LY,broken clouds,2021-12-01 03:52:12
441,Savannakhet,16.566,104.751,77.02,65,40,6.91,LA,scattered clouds,2021-12-01 03:52:13
442,Marsa Matruh,31.3525,27.2453,63.46,65,99,18.9,EG,overcast clouds,2021-12-01 03:52:13
443,Hofn,64.2539,-15.2082,29.73,67,100,17.31,IS,overcast clouds,2021-12-01 03:52:13
444,Ilhabela,-23.7781,-45.3581,71.89,94,15,2.84,BR,few clouds,2021-12-01 03:52:14
445,Palmerston,-12.486,130.9833,99.03,61,20,10.36,AU,few clouds,2021-12-01 03:52:14
446,Kabo,7.6994,18.629,74.59,65,81,4.14,CF,broken clouds,2021-12-01 03:52:15
447,Senanga,-16.1167,23.2667,74.03,43,92,6.15,ZM,overcast clouds,2021-12-01 03:52:15
448,Sorokino,53.75,84.9167,9.39,92,75,4.79,RU,broken clouds,2021-12-01 03:52:15
449,Sao Raimundo Nonato,-9.0153,-42.6994,74.26,82,84,0.74,BR,broken clouds,2021-12-01 03:52:16
450,Tessalit,20.1986,1.0114,71.26,17,99,8.77,ML,overcast clouds,2021-12-01 03:52:16
451,Narrabri,-30.3167,149.7833,82.49,47,40,9.22,AU,light rain,2021-12-01 03:52:17
452,Artyom,40.4723,50.333,64.54,85,82,20.31,AZ,broken clouds,2021-12-01 03:52:17
453,Matara,5.9485,80.5353,82.24,74,31,4.12,LK,scattered clouds,2021-12-01 03:52:17
454,Palembang,-2.9167,104.7458,87.89,55,20,5.75,ID,few clouds,2021-12-01 03:52:18
455,Polunochnoye,60.8697,60.4153,19.45,97,100,1.86,RU,overcast clouds,2021-12-01 03:52:18
456,Popondetta,-8.7537,148.2534,89.13,57,90,6.26,PG,overcast clouds,2021-12-01 03:52:19
457,Nerchinskiy Zavod,51.3088,119.61,4.26,88,100,5.73,RU,overcast clouds,2021-12-01 03:52:19
458,Nuuk,64.1835,-51.7216,23.99,89,100,12.73,GL,light snow,2021-12-01 03:52:19
459,Bien Hoa,10.95,106.8167,84.18,67,82,4.47,VN,broken clouds,2021-12-01 03:50:31
460,Marzuq,14.4,46.4667,59.05,29,1,2.44,YE,clear sky,2021-12-01 03:52:20
461,Bullhead City,35.1478,-114.5683,75.49,16,1,17.27,US,clear sky,2021-12-01 03:48:20
462,Leningradskiy,69.3833,178.4167,-21.93,96,79,10.67,RU,broken clouds,2021-12-01 03:52:20
463,Seoul,37.5683,126.9778,36.84,36,20,19.57,KR,few clouds,2021-12-01 03:51:26
464,Sept-Iles,50.2001,-66.3821,21.72,53,20,6.91,CA,few clouds,2021-12-01 03:48:26
465,Yumen,40.2833,97.2,25.97,48,78,20.29,CN,broken clouds,2021-12-01 03:52:21
466,Sobolevo,54.4299,31.8996,23.25,90,100,12.19,RU,overcast clouds,2021-12-01 03:53:21
467,Hambantota,6.1241,81.1185,80.94,89,40,4.61,LK,scattered clouds,2021-12-01 03:53:22
468,Pokhara,28.2333,83.9833,66.85,50,73,2.17,NP,broken clouds,2021-12-01 03:50:34
469,Orlik,52.5178,99.825,14.09,79,24,2.73,RU,few clouds,2021-12-01 03:53:22
470,Ingham,42.6,-84.3833,33.01,83,1,3.44,US,clear sky,2021-12-01 03:53:23
471,Guiyang,26.5833,106.7167,46.89,66,0,4.47,CN,clear sky,2021-12-01 03:50:00
472,Tura,25.5198,90.2201,76.19,45,7,0.67,IN,clear sky,2021-12-01 03:53:23
473,Porecatu,-22.7558,-51.3792,77.07,61,4,3.94,BR,clear sky,2021-12-01 03:53:24
474,Dakar,14.6937,-17.4441,69.93,94,97,4.61,SN,overcast clouds,2021-12-01 03:53:17
475,Amuntai,-2.4177,115.2494,86.86,63,100,1.52,ID,overcast clouds,2021-12-01 03:53:24
476,Maniitsoq,65.4167,-52.9,30.33,74,100,13.98,GL,light snow,2021-12-01 03:53:25
477,Mahajanga,-15.7167,46.3167,77.02,94,20,4.61,MG,few clouds,2021-12-01 03:53:25
478,Kamaishi,39.2667,141.8833,52.75,75,100,19.53,JP,overcast clouds,2021-12-01 03:53:25
479,Bulawayo,-20.15,28.5833,69.98,41,4,6.38,ZW,clear sky,2021-12-01 03:53:26
480,Dalaba,10.7,-12.25,60.46,35,8,1.74,GN,clear sky,2021-12-01 03:53:26
481,Tongchuan,35.0806,109.0897,41.9,30,0,3.22,CN,clear sky,2021-12-01 03:53:27
482,Samarai,-10.6167,150.6667,86.25,72,95,11.48,PG,overcast clouds,2021-12-01 03:53:27
483,Laurel,39.0993,-76.8483,44.89,75,1,0.0,US,clear sky,2021-12-01 03:53:27
484,Ocos,14.5094,-92.1933,81.0,75,0,4.12,GT,clear sky,2021-12-01 03:53:28
485,Ondjiva,-17.0667,15.7333,70.14,68,94,6.29,AO,overcast clouds,2021-12-01 03:53:28
486,Moron,-34.6534,-58.6198,65.89,81,53,4.0,AR,broken clouds,2021-12-01 03:50:49
487,Yuza,39.0,139.9167,50.05,88,100,21.32,JP,overcast clouds,2021-12-01 03:53:29
488,Ust-Tsilma,65.441,52.1498,16.52,92,100,11.34,RU,light snow,2021-12-01 03:53:29
489,Aripuana,-9.1667,-60.6333,73.18,98,92,1.61,BR,overcast clouds,2021-12-01 03:53:29
490,Nanortalik,60.1432,-45.2371,37.13,89,100,31.0,GL,moderate rain,2021-12-01 03:53:30
491,Cururupu,-1.8283,-44.8683,75.56,91,80,2.64,BR,broken clouds,2021-12-01 03:50:44
492,Haines Junction,60.7522,-137.5108,-7.65,84,100,1.14,CA,overcast clouds,2021-12-01 03:53:30
